account,tokens,protocol,score,rank,explanation
0xe16a238d207b9ac8b419c7a866b0de013c73357b,347222,juicebox.benefits,600,12,"Participated in 57 JuiceboxDAO Governance proposals.,Held $JBX for 101 days."
0x28c173b8f20488eef1b0f48df8453a2f59c38337,347222,juicebox.benefits,595,13,"Participated in 52 JuiceboxDAO Governance proposals.,Held $JBX for 128 days."
0xf2cc5ab715d7f0c98bb49606ef8270e00180c98e,347222,juicebox.benefits,467,14,"Participated in 43 JuiceboxDAO Governance proposals.,Held $JBX for 87 days."
0x03fc72ec3065cd4416f90e9e97519adb9b0f8997,347222,juicebox.benefits,447,15,"Participated in 29 JuiceboxDAO Governance proposals.,Held $JBX for 156 days."
0x754f37225ce0e30639093af47c16ef057b544b4f,347222,juicebox.benefits,433,16,"Participated in 16 JuiceboxDAO Governance proposals.,Held $JBX for 224 days."
0xd3c76745e9427a75670ca07b6d233815ade82d3b,347222,juicebox.benefits,421,17,"Participated in 35 JuiceboxDAO Governance proposals.,Held $JBX for 101 days."
0x6860f1a0cf179ed93abd3739c7f6c8961a4eea3c,347222,juicebox.benefits,398,18,"Participated in 36 JuiceboxDAO Governance proposals.,Held $JBX for 78 days."
0xf33364a83b6002d5070ec5fa31f5d9eb93572732,347222,juicebox.benefits,396,19,"Participated in 19 JuiceboxDAO Governance proposals.,Held $JBX for 178 days."
0xb03f5438f9a243de5c3b830b7841ec315034cd5f,347222,juicebox.benefits,392,20,"Participated in 10 JuiceboxDAO Governance proposals.,Held $JBX for 229 days."
0xf4844a06d4f995c4c03195afcb5aa59dcbb5b4fc,347222,juicebox.benefits,391,21,"Participated in 24 JuiceboxDAO Governance proposals.,Held $JBX for 145 days."
0xce68b1394ed29ecaa6974536244d1d2aad4a2745,347222,juicebox.benefits,390,22,"Participated in 31 JuiceboxDAO Governance proposals.,Held $JBX for 102 days."
0xc29c546064e8fb5506c5e5beaf1594866df7177e,347222,juicebox.benefits,390,22,"Participated in 31 JuiceboxDAO Governance proposals.,Held $JBX for 102 days."
0x2d96e1fe38ff45cc8910c617b3c5e0b6298a81f3,347222,juicebox.benefits,383,24,"Participated in 11 JuiceboxDAO Governance proposals.,Held $JBX for 217 days."
0x6b829b77993c8fea4296f5085341162bb7138c9a,347222,juicebox.benefits,382,25,"Participated in 30 JuiceboxDAO Governance proposals.,Held $JBX for 102 days."
0x9f12d6319fdc6654038e690441d3ecf8608270f1,347222,juicebox.benefits,379,26,"Participated in 36 JuiceboxDAO Governance proposals.,Held $JBX for 64 days."
0x23ca2a059dab1ebcb6a7ccb2d4351c3c2dd6cafb,347222,juicebox.benefits,376,27,"Participated in 9 JuiceboxDAO Governance proposals.,Held $JBX for 224 days."
0x24bcee8ddc8c6ccdba6fe0976977730a19147931,347222,juicebox.benefits,374,28,"Participated in 36 JuiceboxDAO Governance proposals.,Held $JBX for 60 days."
0x2dfe73789ebb4cba862c9eb16ca1804940a274fc,347222,juicebox.benefits,374,28,"Participated in 39 JuiceboxDAO Governance proposals.,Held $JBX for 42 days."
0xf0fe43a75ff248fd2e75d33fa1ebde71c6d1abad,347222,juicebox.benefits,373,30,"Participated in 31 JuiceboxDAO Governance proposals.,Held $JBX for 89 days."
0x1ae766cc5947e1e4c3538ee1f3f47063d2b40e79,347222,juicebox.benefits,372,31,"Participated in 35 JuiceboxDAO Governance proposals.,Held $JBX for 65 days."
0xdd39c8deaeacdcdde35bd48a469349b9346fe7fa,347222,juicebox.benefits,369,32,"Participated in 10 JuiceboxDAO Governance proposals.,Held $JBX for 212 days."
0xa402364b61d16e8c4b9d683604a9a21e8f0d2967,347222,juicebox.benefits,363,33,"Participated in 14 JuiceboxDAO Governance proposals.,Held $JBX for 184 days."
0x30670d81e487c80b9edc54370e6eaf943b6eab39,347222,juicebox.benefits,360,34,"Participated in 34 JuiceboxDAO Governance proposals.,Held $JBX for 62 days."
0x88f91b038d12c9de42596b18ef764ce84e0c914f,347222,juicebox.benefits,352,35,"Participated in 6 JuiceboxDAO Governance proposals.,Held $JBX for 224 days."
0xbd7dbab9aeb52d6c8d0e80fcebde3af4cc86204a,347222,juicebox.benefits,350,36,"Participated in 12 JuiceboxDAO Governance proposals.,Held $JBX for 186 days."
0xd118c9ec2b6d433d0559534b831b5b3fd322f5de,347222,juicebox.benefits,345,37,"Participated in 27 JuiceboxDAO Governance proposals.,Held $JBX for 93 days."
0x823b92d6a4b2aed4b15675c7917c9f922ea8adad,347222,juicebox.benefits,337,38,"Participated in 2 JuiceboxDAO Governance proposals.,Held $JBX for 237 days."
0x48af2bd40905f8d48d187ecb3c6bbc19ec21c795,347222,juicebox.benefits,330,39,"Participated in 10 JuiceboxDAO Governance proposals.,Held $JBX for 183 days."
0x63a2368f4b509438ca90186cb1c15156713d5834,347222,juicebox.benefits,329,40,"Participated in 1 JuiceboxDAO Governance proposals.,Held $JBX for 237 days."
0x68dfb9b374b0a1ce996770ddf32916a530b4785f,347222,juicebox.benefits,327,41,"Participated in 22 JuiceboxDAO Governance proposals.,Held $JBX for 109 days."
0xc73fc3557a4f7eeb7a301ca53e21afa103859e5b,347222,juicebox.benefits,323,42,"Participated in 23 JuiceboxDAO Governance proposals.,Held $JBX for 100 days."
0x34aa3f359a9d614239015126635ce7732c18fdf3,347222,juicebox.benefits,320,43,"Never participated in JuiceboxDAO Governance.,Held $JBX for 237 days."
0x923383f8218d66207eab697b2a417512de0b320b,347222,juicebox.benefits,310,44,"Never participated in JuiceboxDAO Governance.,Held $JBX for 229 days."
0x549a18d0835bbcc7e072481f84d8f8b0412844f1,347222,juicebox.benefits,309,45,"Participated in 21 JuiceboxDAO Governance proposals.,Held $JBX for 102 days."
0x382431d1417a49bc1429763bb096fbd9d5444166,347222,juicebox.benefits,309,45,"Participated in 21 JuiceboxDAO Governance proposals.,Held $JBX for 102 days."
0x8d50ba56ada4d2101da547c69be792ee08718b54,347222,juicebox.benefits,308,47,"Participated in 21 JuiceboxDAO Governance proposals.,Held $JBX for 101 days."
0xd851f768d1f258b263b85009d6c2b5f2f0fb1479,347222,juicebox.benefits,301,48,"Participated in 20 JuiceboxDAO Governance proposals.,Held $JBX for 102 days."
0x695e99bd9240701f4dcda37aec32028b6a764d83,194931,juicebox.benefits,300,49,"Never participated in JuiceboxDAO Governance.,Held $JBX for 222 days."
0x849a2bda720e3657274d9448d9043b0987773a44,194931,juicebox.benefits,300,49,"Participated in 22 JuiceboxDAO Governance proposals.,Held $JBX for 89 days."
0xadcd5dcb24f0434805792a065d0fa8614cf4206a,194931,juicebox.benefits,299,51,"Never participated in JuiceboxDAO Governance.,Held $JBX for 221 days."
0x2fe59a3d4379a127adb934bcb9fcccf2c770eb97,194931,juicebox.benefits,299,51,"Never participated in JuiceboxDAO Governance.,Held $JBX for 221 days."
0xed46a40c088d11546eb4811e565e88a03ae8a07c,194931,juicebox.benefits,299,51,"Never participated in JuiceboxDAO Governance.,Held $JBX for 221 days."
0xe58d3828c9ee9d6df2379a275b28aac0322a05a8,194931,juicebox.benefits,298,54,"Participated in 22 JuiceboxDAO Governance proposals.,Held $JBX for 88 days."
0xfa0462dace7cc753b1c51168cb64856c5be3401e,194931,juicebox.benefits,296,55,"Never participated in JuiceboxDAO Governance.,Held $JBX for 219 days."
0x4b771e3421d4fbecc6eb67a26af77aca85ef2ac3,194931,juicebox.benefits,296,55,"Participated in 1 JuiceboxDAO Governance proposals.,Held $JBX for 212 days."
0x113406a66a9c41b9899f9bf08c39931cd7437ac3,194931,juicebox.benefits,293,57,"Participated in 19 JuiceboxDAO Governance proposals.,Held $JBX for 102 days."
0x9fc5bea9000986a756c61e00e34d50c3f0a3283d,194931,juicebox.benefits,292,58,"Participated in 21 JuiceboxDAO Governance proposals.,Held $JBX for 89 days."
0x176d13b1e6ac0476e108c3ca60b15919dff0bcdf,194931,juicebox.benefits,289,59,"Never participated in JuiceboxDAO Governance.,Held $JBX for 214 days."
0x5507dbd48a5a5bace8a6030e878cc4e0af147c33,194931,juicebox.benefits,288,60,"Never participated in JuiceboxDAO Governance.,Held $JBX for 213 days."
0x601e6e7711b9e3b1b20e1e8016038a32dfc86ddd,194931,juicebox.benefits,288,60,"Never participated in JuiceboxDAO Governance.,Held $JBX for 213 days."
0x21c30d17d9e61ce139dfd2a3d167c5752246b938,194931,juicebox.benefits,287,62,"Never participated in JuiceboxDAO Governance.,Held $JBX for 212 days."
0xc3c51e27c228debc182e8c802dcb4ca919acbc77,194931,juicebox.benefits,284,63,"Never participated in JuiceboxDAO Governance.,Held $JBX for 210 days."
0x89ad2a1f98266c760f585c56a661e7334f8f1d91,194931,juicebox.benefits,284,63,"Participated in 18 JuiceboxDAO Governance proposals.,Held $JBX for 102 days."
0xcb33844b365c53d3462271cee9b719b6fc8ba06a,194931,juicebox.benefits,281,65,"Never participated in JuiceboxDAO Governance.,Held $JBX for 208 days."
0xccd72bea12f3927063be3d8798a4b74082713cb5,194931,juicebox.benefits,281,65,"Never participated in JuiceboxDAO Governance.,Held $JBX for 208 days."
0x330e75e1f48b1ee968197cc870511665a4a5a832,194931,juicebox.benefits,280,67,"Never participated in JuiceboxDAO Governance.,Held $JBX for 207 days."
0x6a025e093c6c0c5381d5763283e1db339ff22eb6,194931,juicebox.benefits,280,67,"Never participated in JuiceboxDAO Governance.,Held $JBX for 207 days."
0x279fb445ec0ad02482b2edb154d1003b1ddab713,194931,juicebox.benefits,279,69,"Never participated in JuiceboxDAO Governance.,Held $JBX for 206 days."
0x34724d71ce674fcd4d06e60dd1baa88c14d36b75,194931,juicebox.benefits,278,70,"Participated in 24 JuiceboxDAO Governance proposals.,Held $JBX for 61 days."
0x468b0cb8c0bc2ab298bb00a96e045a04a9ecad17,194931,juicebox.benefits,277,71,"Never participated in JuiceboxDAO Governance.,Held $JBX for 205 days."
0x8b570fe897d7a3474e94d92df40f365471d5a7f3,194931,juicebox.benefits,276,72,"Never participated in JuiceboxDAO Governance.,Held $JBX for 204 days."
0xf00408ddcaf624129cc0d08aa122a7abe1f2ef31,194931,juicebox.benefits,276,72,"Never participated in JuiceboxDAO Governance.,Held $JBX for 204 days."
0x831283a628f377ccf760d885968c6a0b8019c22a,194931,juicebox.benefits,276,72,"Participated in 19 JuiceboxDAO Governance proposals.,Held $JBX for 89 days."
0x491e83d1f86d1f753050d17becfba1353cf3dfa4,194931,juicebox.benefits,275,75,"Participated in 17 JuiceboxDAO Governance proposals.,Held $JBX for 101 days."
0x2b19fde5d7377b48be50a5d0a78398a496e8b15c,194931,juicebox.benefits,274,76,"Participated in 1 JuiceboxDAO Governance proposals.,Held $JBX for 196 days."
0xc109636a2b47f8b290cc134dd446fcd7d7e0cc94,194931,juicebox.benefits,274,76,"Participated in 7 JuiceboxDAO Governance proposals.,Held $JBX for 160 days."
0xfe35e15be885750d9b2363cbb6abdd57ac9c4c40,194931,juicebox.benefits,271,78,"Never participated in JuiceboxDAO Governance.,Held $JBX for 200 days."
0x47fd1746c785a5112729cb6c2d3905634e292196,194931,juicebox.benefits,271,78,"Participated in 1 JuiceboxDAO Governance proposals.,Held $JBX for 194 days."
0x40b6df5f6217fb1a1beaf8fdbb9572304aa78c4d,194931,juicebox.benefits,271,78,"Participated in 1 JuiceboxDAO Governance proposals.,Held $JBX for 194 days."
0xa9a1b8c4ee2cf76e8b22c5dad3976d269e4050e5,194931,juicebox.benefits,271,78,"Participated in 1 JuiceboxDAO Governance proposals.,Held $JBX for 194 days."
0x1350f912f00f09b8fbbfd71ac73a286c0cd814c6,194931,juicebox.benefits,268,82,"Never participated in JuiceboxDAO Governance.,Held $JBX for 198 days."
0x030dacaadebb91adebe1321e63d06b430ebdd0d6,194931,juicebox.benefits,268,82,"Never participated in JuiceboxDAO Governance.,Held $JBX for 198 days."
0xddc674c29f2b34fc2338b719c0ae711b063eeadb,194931,juicebox.benefits,268,82,"Never participated in JuiceboxDAO Governance.,Held $JBX for 198 days."
0xbb0244016a4dcb20c499b50e740083cfbb6c2f78,194931,juicebox.benefits,268,82,"Participated in 16 JuiceboxDAO Governance proposals.,Held $JBX for 102 days."
0x8f2a0c6bdd5c1f61552558d2c0d2afe6d3dc5272,194931,juicebox.benefits,268,82,"Participated in 16 JuiceboxDAO Governance proposals.,Held $JBX for 102 days."
0x6691af446bb121b19aec9c0ff6ed9c4721d5fee1,194931,juicebox.benefits,267,87,"Participated in 14 JuiceboxDAO Governance proposals.,Held $JBX for 113 days."
0xb0bddef562255ee5957929cbc1aa3990ff265a4d,194931,juicebox.benefits,267,87,"Participated in 18 JuiceboxDAO Governance proposals.,Held $JBX for 89 days."
0xacd7441f9b73189f4ef61a0c9725bf0816fae124,194931,juicebox.benefits,266,89,"Never participated in JuiceboxDAO Governance.,Held $JBX for 197 days."
0xd337fccaec6ea113baacca3a41eb8766706a0706,194931,juicebox.benefits,266,89,"Never participated in JuiceboxDAO Governance.,Held $JBX for 197 days."
0xc4798b79d22630cee83b4ecb0fd98cd5ff0fbb62,194931,juicebox.benefits,265,91,"Never participated in JuiceboxDAO Governance.,Held $JBX for 196 days."
0x6106e7b682296e3e67de45df3294a706b36a51a6,194931,juicebox.benefits,265,91,"Never participated in JuiceboxDAO Governance.,Held $JBX for 196 days."
0x5b93ff82faaf241c15997ea3975419dddd8362c5,194931,juicebox.benefits,265,91,"Never participated in JuiceboxDAO Governance.,Held $JBX for 196 days."
0x8a286b1bbfddf7296c497e99d5900005a09831d2,194931,juicebox.benefits,265,91,"Never participated in JuiceboxDAO Governance.,Held $JBX for 196 days."
0x3fad44f892b986263ac69db971db8da172185387,194931,juicebox.benefits,265,91,"Never participated in JuiceboxDAO Governance.,Held $JBX for 196 days."
0x25cd302e37a69d70a6ef645daea5a7de38c66e2a,194931,juicebox.benefits,265,91,"Never participated in JuiceboxDAO Governance.,Held $JBX for 196 days."
0x3cd3b3ee42703e0bbad60bf986f43dda60270afa,194931,juicebox.benefits,265,91,"Never participated in JuiceboxDAO Governance.,Held $JBX for 196 days."
0x6ba8e220b8e17344c8d545e73f04d0af00445efe,194931,juicebox.benefits,264,98,"Never participated in JuiceboxDAO Governance.,Held $JBX for 195 days."
0x2780e56e937b34be430f1a42a3ce56fd23d9a7d8,194931,juicebox.benefits,264,98,"Never participated in JuiceboxDAO Governance.,Held $JBX for 195 days."
0x26e2e8a24e867e5e96ea0c4913e659cdc8a97973,194931,juicebox.benefits,264,98,"Never participated in JuiceboxDAO Governance.,Held $JBX for 195 days."
0xb35e71b6a5aebb07dfc3aa705968411ebdbc003f,194931,juicebox.benefits,262,101,"Never participated in JuiceboxDAO Governance.,Held $JBX for 194 days."
0xbb11e880893b8e0c8d0cd2b342efec3d10d82b80,194931,juicebox.benefits,262,101,"Never participated in JuiceboxDAO Governance.,Held $JBX for 194 days."
0x2a7051d7cbbef7b6889f8e14774020b1653b94c1,194931,juicebox.benefits,262,101,"Never participated in JuiceboxDAO Governance.,Held $JBX for 194 days."
0x1bbd0acffd7f81fb2156f75481087d58d5435297,194931,juicebox.benefits,262,101,"Never participated in JuiceboxDAO Governance.,Held $JBX for 194 days."
0x06324d8d1af42bf040fdb6709d4fde238ae44529,194931,juicebox.benefits,262,101,"Never participated in JuiceboxDAO Governance.,Held $JBX for 194 days."
0x3341dd81d325f231aa744efd603b8255d8cc3515,194931,juicebox.benefits,262,101,"Never participated in JuiceboxDAO Governance.,Held $JBX for 194 days."
0x9cfe223f281b5b58e41e5994960275da29291c7e,194931,juicebox.benefits,262,101,"Never participated in JuiceboxDAO Governance.,Held $JBX for 194 days."
0x2a2cd7400f922085b62ca9bd9ac0f16151f716ab,194931,juicebox.benefits,261,108,"Never participated in JuiceboxDAO Governance.,Held $JBX for 193 days."
0x1e00a3df27562c80216e34947f6d746cc06e47a6,194931,juicebox.benefits,261,108,"Never participated in JuiceboxDAO Governance.,Held $JBX for 193 days."
0xbf32d798bf239b447e3523030af643e622df0e0e,194931,juicebox.benefits,261,108,"Never participated in JuiceboxDAO Governance.,Held $JBX for 193 days."
0x091e2f9422a22a09e478455fd59be8cb6ee56463,194931,juicebox.benefits,261,108,"Never participated in JuiceboxDAO Governance.,Held $JBX for 193 days."
0x70530d63e944701dd9869be5ced5e754a60b3a52,194931,juicebox.benefits,260,112,"Never participated in JuiceboxDAO Governance.,Held $JBX for 192 days."
0x1f92fc15bcbeb4dd24eefbead8d7aee409f891dc,194931,juicebox.benefits,260,112,"Never participated in JuiceboxDAO Governance.,Held $JBX for 192 days."
0x84d1e52a5c2871d72ec2d190e14d19a065c98726,194931,juicebox.benefits,260,112,"Never participated in JuiceboxDAO Governance.,Held $JBX for 192 days."
0xbd9d1d31a6a451f7a8ec61fc5fd491fd59d5f489,194931,juicebox.benefits,260,112,"Never participated in JuiceboxDAO Governance.,Held $JBX for 192 days."
0x850325058716a1181546fa00c5cd14b8ac37f413,194931,juicebox.benefits,260,112,"Participated in 15 JuiceboxDAO Governance proposals.,Held $JBX for 102 days."
0xeee382a8f995350fb172cdcb2c1e8cbd7b4dd533,194931,juicebox.benefits,260,112,"Participated in 15 JuiceboxDAO Governance proposals.,Held $JBX for 102 days."
0x5bca305df5b8446546224d7e548ef4e681eacfc9,194931,juicebox.benefits,259,118,"Participated in 17 JuiceboxDAO Governance proposals.,Held $JBX for 89 days."
0x317f69a5246ed4bad85877e1977a48bd29127344,194931,juicebox.benefits,258,119,"Never participated in JuiceboxDAO Governance.,Held $JBX for 191 days."
0x8916a35e050fa01338e708b19626ca76cfc74016,194931,juicebox.benefits,258,119,"Participated in 1 JuiceboxDAO Governance proposals.,Held $JBX for 184 days."
0x01f0530e47f85c1d1f71823c47e0f0ca0415c1f2,194931,juicebox.benefits,257,121,"Never participated in JuiceboxDAO Governance.,Held $JBX for 190 days."
0xd3dd62e5ad098d2220e3921d41494fb9754c1bf1,194931,juicebox.benefits,257,121,"Never participated in JuiceboxDAO Governance.,Held $JBX for 190 days."
0xf7b28eb7d72d0148b28bbf690c076757e2761b30,194931,juicebox.benefits,257,121,"Never participated in JuiceboxDAO Governance.,Held $JBX for 190 days."
0x0b17ec878be272aa9aa3b357456ce58bdbe71a36,194931,juicebox.benefits,256,124,"Never participated in JuiceboxDAO Governance.,Held $JBX for 189 days."
0x9dd142d15fd843dd27224ae34cff9ee2a813a631,194931,juicebox.benefits,256,124,"Never participated in JuiceboxDAO Governance.,Held $JBX for 189 days."
0xc63a4fc7f78bfab4109b367427ce395dee75e411,194931,juicebox.benefits,256,124,"Participated in 5 JuiceboxDAO Governance proposals.,Held $JBX for 159 days."
0xec33f6bff72f7328f7532d5b70f76047ea3fdaba,194931,juicebox.benefits,254,127,"Never participated in JuiceboxDAO Governance.,Held $JBX for 188 days."
0xbb806e75c7e71ad07dbefd2b1b5da2689a147340,194931,juicebox.benefits,253,128,"Never participated in JuiceboxDAO Governance.,Held $JBX for 187 days."
0x21c62b005e6e8123c33f0008debca41ba785f304,194931,juicebox.benefits,252,129,"Never participated in JuiceboxDAO Governance.,Held $JBX for 186 days."
0x32b158ab41c47dd0d2d33f35e7523ef7ab9a2d0c,194931,juicebox.benefits,252,129,"Never participated in JuiceboxDAO Governance.,Held $JBX for 186 days."
0x298d1725cf615403d76df72675a8e772ea940f23,194931,juicebox.benefits,252,129,"Participated in 14 JuiceboxDAO Governance proposals.,Held $JBX for 102 days."
0x5d95baebb8412ad827287240a5c281e3bb30d27e,194931,juicebox.benefits,252,129,"Participated in 22 JuiceboxDAO Governance proposals.,Held $JBX for 54 days."
0xe23897619e6669836d2fbd1595f0119b93fded5d,194931,juicebox.benefits,251,133,"Participated in 16 JuiceboxDAO Governance proposals.,Held $JBX for 89 days."
0x879ada9eb253c9ed49ffd93a9481b777ced93e5b,194931,juicebox.benefits,250,134,"Never participated in JuiceboxDAO Governance.,Held $JBX for 185 days."
0x898616c4374fe4160c810536590c5d3d96e2ba14,194931,juicebox.benefits,249,135,"Never participated in JuiceboxDAO Governance.,Held $JBX for 184 days."
0x7588f8f16e25e85399fe7c4cb66e24f9dfe2e825,194931,juicebox.benefits,248,136,"Never participated in JuiceboxDAO Governance.,Held $JBX for 183 days."
0x63a556c75443b176b5a4078e929e38beb37a1ff2,194931,juicebox.benefits,246,137,"Never participated in JuiceboxDAO Governance.,Held $JBX for 182 days."
0x69f0687e1b859b59dc3ff8f172f8f8220594e8c3,194931,juicebox.benefits,244,138,"Never participated in JuiceboxDAO Governance.,Held $JBX for 180 days."
0xc5076d409ee4f4e964a13d485bfd6b7c548dba34,194931,juicebox.benefits,244,138,"Never participated in JuiceboxDAO Governance.,Held $JBX for 180 days."
0xf9107317b0ff77ed5b7adea15e50514a3564002b,194931,juicebox.benefits,243,140,"Participated in 2 JuiceboxDAO Governance proposals.,Held $JBX for 167 days."
0x17a3a975c967c70a5fa5c2479cd24a3033f03717,194931,juicebox.benefits,243,140,"Participated in 15 JuiceboxDAO Governance proposals.,Held $JBX for 89 days."
0x64abc5b10c77d93be5038e7b4965d2f0d8279127,194931,juicebox.benefits,242,142,"Participated in 11 JuiceboxDAO Governance proposals.,Held $JBX for 112 days."
0x0e79c644ec160afe87ea8e87201c0fe35ba63e1f,194931,juicebox.benefits,241,143,"Never participated in JuiceboxDAO Governance.,Held $JBX for 178 days."
0x34aaa3d5a73d6f9594326d0422ce69748f09b14f,194931,juicebox.benefits,241,143,"Never participated in JuiceboxDAO Governance.,Held $JBX for 178 days."
0x031fef8fa26bc5814ffa312b955af1a5cbd4655a,194931,juicebox.benefits,241,143,"Never participated in JuiceboxDAO Governance.,Held $JBX for 178 days."
0x5f23f3f76fdb9cb3cd7beffa8a3e8387e9f217b0,194931,juicebox.benefits,240,146,"Participated in 1 JuiceboxDAO Governance proposals.,Held $JBX for 171 days."
0x8dcb5940236f10f88364e16e67f512275706e4a4,194931,juicebox.benefits,238,147,"Never participated in JuiceboxDAO Governance.,Held $JBX for 176 days."
0x85fa37209154b102efd1800babc672781133b905,194931,juicebox.benefits,238,147,"Never participated in JuiceboxDAO Governance.,Held $JBX for 176 days."
0xa57da90db3dacf70e7bca560d5071667e93ddfe8,194931,juicebox.benefits,238,147,"Never participated in JuiceboxDAO Governance.,Held $JBX for 176 days."
0x80f40c7f12884e52af9ab24b0c5d474eb0926eb2,194931,juicebox.benefits,238,147,"Participated in 1 JuiceboxDAO Governance proposals.,Held $JBX for 169 days."
0x68f593572402632c724bc2d2fca05e91541269f3,194931,juicebox.benefits,237,151,"Never participated in JuiceboxDAO Governance.,Held $JBX for 175 days."
0x9d7d2d5c305348faf3aa185d7114dcdd936d5b45,194931,juicebox.benefits,236,152,"Participated in 3 JuiceboxDAO Governance proposals.,Held $JBX for 156 days."
0x651171f6734696222c2b1fb8f54b0fcdc896cc8a,194931,juicebox.benefits,236,152,"Participated in 10 JuiceboxDAO Governance proposals.,Held $JBX for 114 days."
0x9428e55418755b2f902d3b1f898a871ab5634182,194931,juicebox.benefits,236,152,"Participated in 12 JuiceboxDAO Governance proposals.,Held $JBX for 102 days."
0x4d477f1aabcfc2fc3fc9b802e861c013e0123ad9,194931,juicebox.benefits,236,152,"Participated in 12 JuiceboxDAO Governance proposals.,Held $JBX for 102 days."
0xfbabfd8f520e38d6e2178d018209453e86246274,194931,juicebox.benefits,236,152,"Participated in 12 JuiceboxDAO Governance proposals.,Held $JBX for 102 days."
0x1cb6ad1e4763309d9f769b6e1291f8cf3ca4fd9d,194931,juicebox.benefits,236,152,"Participated in 12 JuiceboxDAO Governance proposals.,Held $JBX for 102 days."
0xdd691056347cee823c1be4ad271c21a2476fb91f,194931,juicebox.benefits,236,152,"Participated in 12 JuiceboxDAO Governance proposals.,Held $JBX for 102 days."
0x6c6541cc3ec6bfc2d7b0ca48ccb0225cbbea9b59,194931,juicebox.benefits,235,159,"Never participated in JuiceboxDAO Governance.,Held $JBX for 174 days."
0xfe5fe702d9667b3c36f3c330151273b0ed71fe04,194931,juicebox.benefits,235,159,"Participated in 1 JuiceboxDAO Governance proposals.,Held $JBX for 167 days."
0xd8dc2ca51e0e53f6ad9b582a7e6c9a6b63258960,194931,juicebox.benefits,233,161,"Never participated in JuiceboxDAO Governance.,Held $JBX for 172 days."
0x84c2b621d2cfb14efc785c8e853cdc714503152d,194931,juicebox.benefits,232,162,"Participated in 10 JuiceboxDAO Governance proposals.,Held $JBX for 111 days."
0xd965952823153e5cbc611be87e8322cfc329f056,194931,juicebox.benefits,231,163,"Never participated in JuiceboxDAO Governance.,Held $JBX for 171 days."
0x8f32188b684ae7fc0734e393ff5a3e7f803e5f10,194931,juicebox.benefits,231,163,"Participated in 13 JuiceboxDAO Governance proposals.,Held $JBX for 92 days."
0x0e13a8f28e7b6d8a0fbaabc59d0a2368c13aceb2,194931,juicebox.benefits,230,165,"Never participated in JuiceboxDAO Governance.,Held $JBX for 170 days."
0xe33d10fb2196c5e08129468b4b3962a2e9831a2a,194931,juicebox.benefits,230,165,"Never participated in JuiceboxDAO Governance.,Held $JBX for 170 days."
0xe259b2f1e9e40bd5be441a8cdd8e26f4287d6936,194931,juicebox.benefits,229,167,"Never participated in JuiceboxDAO Governance.,Held $JBX for 169 days."
0x0a0b2799230fa2413a196f25dc77245dcc65bc0a,194931,juicebox.benefits,229,167,"Never participated in JuiceboxDAO Governance.,Held $JBX for 169 days."
0x4b6f278be7f7ab371d7daa52997b458ca90ccffa,194931,juicebox.benefits,228,169,"Participated in 11 JuiceboxDAO Governance proposals.,Held $JBX for 102 days."
0x678d6f95001b78a8ffeffabdc3f6ccc49475f8da,194931,juicebox.benefits,228,169,"Participated in 11 JuiceboxDAO Governance proposals.,Held $JBX for 102 days."
0xd1587ed2f82b21875d9b0ef66a4f1e17262df825,194931,juicebox.benefits,228,169,"Participated in 11 JuiceboxDAO Governance proposals.,Held $JBX for 102 days."
0x043a9144f8eb32ce0e023a4cb4e1086695a5bff7,194931,juicebox.benefits,228,169,"Participated in 11 JuiceboxDAO Governance proposals.,Held $JBX for 102 days."
